word,color,congruent,corrans,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,inverse1.thisRepN,inverse1.thisTrialN,inverse1.thisN,inverse1.thisIndex,conven1.thisRepN,conven1.thisTrialN,conven1.thisN,conven1.thisIndex,intro_text.started,intro_text.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text.started,text.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,ready_text.started,ready_text.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,ISI.started,ISI.stopped,trial_text.started,trial_text.stopped,resp.keys,resp.corr,resp.started,resp.stopped,fixationtrial.started,fixationtrial.stopped,trial_display.started,trial_display.stopped,resp.rt,rest_text.started,rest_text.stopped,key_resp_8.keys,key_resp_8.started,key_resp_8.stopped,rest_beep_start.started,rest_beep_start.stopped,rest_beep_end.started,rest_beep_end.stopped,rest_display.started,rest_display.stopped,text_2.started,text_2.stopped,fixationmain.started,fixationmain.stopped,key_resp_7.keys,key_resp_7.corr,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,task_display.started,task_display.stopped,session,participant,date,expName,psychopyVersion,frameRate,
ĐỎ,RED,1,left,,,,,2,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139.853386399991,141.13655830000062,139.03700259998732,139.8366881999973,left,1,0.4080294000013964,139.853386399991,None,139.03700259998732,139.03700259998732,001,1489,2019_Oct_14_1552,stroop short,3.1.5,60.022280274137294,
XANH DƯƠNG,GREEN,1,down,,,,,2,1,11,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142.85278289999405,144.1356453999906,142.0388668999949,142.83584039998823,right,0,1.0131624000059674,142.85278289999405,None,142.0388668999949,142.0388668999949,001,1489,2019_Oct_14_1552,stroop short,3.1.5,60.022280274137294,
VÀNG,RED,0,up,,,,,2,2,12,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.85205259999202,147.13494889999856,145.0359868999949,145.83524479999323,left,0,0.9018093000049703,145.85205259999202,None,145.0359868999949,145.0359868999949,001,1489,2019_Oct_14_1552,stroop short,3.1.5,60.022280274137294,
XANH LÁ,BLUE,1,right,,,,,2,3,13,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148.8513849999872,150.13461199999438,148.0371438000002,148.83461759999045,down,0,0.8184838000015588,148.8513849999872,None,148.0371438000002,148.0371438000002,001,1489,2019_Oct_14_1552,stroop short,3.1.5,60.022280274137294,
ĐỎ,YELLOW,0,left,,,,,2,4,14,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151.85103789999266,153.13403209998796,151.03450119998888,151.83419039999717,up,0,0.735642600004212,151.85103789999266,None,151.03450119998888,151.03450119998888,001,1489,2019_Oct_14_1552,stroop short,3.1.5,60.022280274137294,
XANH LÁ,BLUE,1,right,,,,,3,0,15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154.85031479998725,156.13315729999158,154.03747969999677,154.8337571999873,down,0,0.8473845999978948,154.85031479998725,None,154.03747969999677,154.03747969999677,001,1489,2019_Oct_14_1552,stroop short,3.1.5,60.022280274137294,
XANH DƯƠNG,GREEN,1,down,,,,,3,1,16,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157.8496269999887,159.1328469,157.03594699999667,157.83292079999228,right,0,0.70531750000373,157.8496269999887,None,157.03594699999667,157.03594699999667,001,1489,2019_Oct_14_1552,stroop short,3.1.5,60.022280274137294,
ĐỎ,YELLOW,0,left,,,,,3,2,17,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160.84943389998807,162.13277240000025,160.03236769999785,160.83271049999166,up,0,1.2804718999977922,160.84943389998807,None,160.03236769999785,160.03236769999785,001,1489,2019_Oct_14_1552,stroop short,3.1.5,60.022280274137294,
ĐỎ,RED,1,left,,,,,3,3,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163.84870789998968,165.13150089999544,163.03199129999848,163.83189899999707,left,1,0.4747648000047775,163.84870789998968,None,163.03199129999848,163.03199129999848,001,1489,2019_Oct_14_1552,stroop short,3.1.5,60.022280274137294,
VÀNG,RED,0,up,,,,,3,4,19,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.8481269999902,168.13081569998758,166.03173079999397,166.83134979999159,left,0,0.8963044000120135,166.8481269999902,None,166.03173079999397,166.03173079999397,001,1489,2019_Oct_14_1552,stroop short,3.1.5,60.022280274137294,
