word,color,congruent,corrans,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,inverse1.thisRepN,inverse1.thisTrialN,inverse1.thisN,inverse1.thisIndex,conven1.thisRepN,conven1.thisTrialN,conven1.thisN,conven1.thisIndex,intro_text.started,intro_text.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text.started,text.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,ready_text.started,ready_text.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,ISI.started,ISI.stopped,trial_text.started,trial_text.stopped,resp.keys,resp.corr,resp.rt,resp.started,resp.stopped,fixationtrial.started,fixationtrial.stopped,trial_display.started,trial_display.stopped,rest_text.started,rest_text.stopped,key_resp_8.keys,key_resp_8.started,key_resp_8.stopped,rest_beep_start.started,rest_beep_start.stopped,rest_beep_end.started,rest_beep_end.stopped,rest_display.started,rest_display.stopped,text_2.started,text_2.stopped,fixationmain.started,fixationmain.stopped,key_resp_7.keys,key_resp_7.corr,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,task_display.started,task_display.stopped,session,participant,date,expName,psychopyVersion,frameRate,
VÀNG,RED,0,up,,,,,4,3,23,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212.17933970000013,213.46280139999726,211.36267119999684,212.1628137000007,up,1,1.006401200000255,212.17933970000013,None,211.36267119999684,None,001,1488,2019_Oct_14_1450,stroop short,3.1.5,60.23443240966173,
ĐỎ,RED,1,left,,,,,4,4,24,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215.17977419999806,216.46309589999873,214.36274419999972,215.16279309999663,left,1,1.3357918000037898,215.17977419999806,None,214.36274419999972,None,001,1488,2019_Oct_14_1450,stroop short,3.1.5,60.23443240966173,
XANH DƯƠNG,GREEN,1,down,,,,,5,0,25,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218.1793456000014,219.4627057999969,217.36562669999694,218.16271649999544,down,1,1.3951716000010492,218.1793456000014,None,217.36562669999694,None,001,1488,2019_Oct_14_1450,stroop short,3.1.5,60.23443240966173,
XANH LÁ,BLUE,1,right,,,,,5,1,26,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221.1792370999974,222.46257350000087,220.3629518000016,221.16266460000043,right,1,1.0222406999964733,221.1792370999974,None,220.3629518000016,None,001,1488,2019_Oct_14_1450,stroop short,3.1.5,60.23443240966173,
ĐỎ,YELLOW,0,left,,,,,5,2,27,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224.1793336999981,225.46256379999977,223.36269509999693,224.16271169999527,up,0,0.8606073999981163,224.1793336999981,None,223.36269509999693,None,001,1488,2019_Oct_14_1450,stroop short,3.1.5,60.23443240966173,
VÀNG,RED,0,up,,,,,5,3,28,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227.17992930000037,228.46269010000105,226.36271000000124,227.16340439999476,left,0,1.0069229999935487,227.17992930000037,None,226.36271000000124,None,001,1488,2019_Oct_14_1450,stroop short,3.1.5,60.23443240966173,
ĐỎ,RED,1,left,,,,,5,4,29,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230.17959559999872,231.46268079999572,229.3629834999956,230.16259400000126,left,1,0.8711438000027556,230.17959559999872,None,229.3629834999956,None,001,1488,2019_Oct_14_1450,stroop short,3.1.5,60.23443240966173,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,232.3628938999973,None,None,232.3628938999973,237.3634013999981,,,,,,,,,,,,,,,,,,001,1488,2019_Oct_14_1450,stroop short,3.1.5,60.23443240966173,
XANH LÁ,RED,0,right,,,,,,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,232.3628938999973,None,261.3793866999986,None,232.3628938999973,None,263.1797546999951,264.4629012000005,262.3690041000009,263.16271779999806,right,1,1.073881700001948,263.1797546999951,None,262.3690041000009,None,001,1488,2019_Oct_14_1450,stroop short,3.1.5,60.23443240966173,
ĐỎ,RED,1,left,,,,,,,,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,266.1794879000008,267.46282439999777,265.3626934999993,266.16281969999545,left,1,0.5594075999979395,266.1794879000008,None,265.3626934999993,None,001,1488,2019_Oct_14_1450,stroop short,3.1.5,60.23443240966173,
VÀNG,YELLOW,1,up,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,269.1792934999976,270.46294240000134,268.3626793000003,269.1628469999996,up,1,0.6479939999990165,269.1792934999976,None,268.3626793000003,None,001,1488,2019_Oct_14_1450,stroop short,3.1.5,60.23443240966173,
XANH DƯƠNG,BLUE,0,right,,,,,,,,,0,3,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,272.1797288000016,273.46333199999935,271.36349640000117,272.1627590999997,down,0,0.8168040000018664,272.1797288000016,None,271.36349640000117,None,001,1488,2019_Oct_14_1450,stroop short,3.1.5,60.23443240966173,
ĐỎ,RED,1,left,,,,,,,,,0,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275.1793533999953,276.46280779999506,274.36276659999567,275.1626011999979,left,1,0.5505145999995875,275.1793533999953,None,274.36276659999567,None,001,1488,2019_Oct_14_1450,stroop short,3.1.5,60.23443240966173,
ĐỎ,RED,1,left,,,,,,,,,1,0,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,278.1797177999979,279.4630676000015,277.3627172999986,278.1630776999955,left,1,0.492579099998693,278.1797177999979,None,277.3627172999986,None,001,1488,2019_Oct_14_1450,stroop short,3.1.5,60.23443240966173,
VÀNG,YELLOW,1,up,,,,,,,,,1,1,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,281.17934819999937,282.4632316999996,280.36331390000123,281.16303389999666,up,1,1.0457376999984263,281.17934819999937,None,280.36331390000123,None,001,1488,2019_Oct_14_1450,stroop short,3.1.5,60.23443240966173,
XANH DƯƠNG,BLUE,0,right,,,,,,,,,1,2,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,284.1795224999951,285.46273089999886,283.36469139999826,284.1629348999995,down,0,0.9094933000014862,284.1795224999951,None,283.36469139999826,None,001,1488,2019_Oct_14_1450,stroop short,3.1.5,60.23443240966173,
XANH LÁ,RED,0,right,,,,,,,,,1,3,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,287.1793647000013,288.4629214000015,286.3630645999947,287.1628389999969,right,1,0.8090142000000924,287.1793647000013,None,286.3630645999947,None,001,1488,2019_Oct_14_1450,stroop short,3.1.5,60.23443240966173,
ĐỎ,RED,1,left,,,,,,,,,1,4,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290.17948229999456,291.46320900000137,289.36317759999656,290.16291269999783,left,1,0.5985360000049695,290.17948229999456,None,289.36317759999656,None,001,1488,2019_Oct_14_1450,stroop short,3.1.5,60.23443240966173,
VÀNG,YELLOW,1,up,,,,,,,,,2,0,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,293.1798658999978,294.4629765999998,292.36279139999533,293.16283239999757,up,1,0.6260658999963198,293.1798658999978,None,292.36279139999533,None,001,1488,2019_Oct_14_1450,stroop short,3.1.5,60.23443240966173,
XANH DƯƠNG,BLUE,0,right,,,,,,,,,2,1,11,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,296.17936069999996,297.46276149999903,295.3639916999964,296.16278919999604,down,0,1.0742649999956484,296.17936069999996,None,295.3639916999964,None,001,1488,2019_Oct_14_1450,stroop short,3.1.5,60.23443240966173,
ĐỎ,RED,1,left,,,,,,,,,2,2,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,299.179160599997,300.4629117000004,298.36299660000077,299.1626705999952,left,1,0.5186812999963877,299.179160599997,None,298.36299660000077,None,001,1488,2019_Oct_14_1450,stroop short,3.1.5,60.23443240966173,
XANH LÁ,RED,0,right,,,,,,,,,2,3,13,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302.1804086999982,303.4633862999981,301.36368989999755,302.162883099998,left,0,1.3950331000014558,302.1804086999982,None,301.36368989999755,None,001,1488,2019_Oct_14_1450,stroop short,3.1.5,60.23443240966173,
ĐỎ,RED,1,left,,,,,,,,,2,4,14,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,305.1793671999985,306.4633618000007,304.3628460999971,305.1627004999973,left,1,0.541151199999149,305.1793671999985,None,304.3628460999971,None,001,1488,2019_Oct_14_1450,stroop short,3.1.5,60.23443240966173,
ĐỎ,RED,1,left,,,,,,,,,3,0,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,308.1793580999947,309.4632990999962,307.36310539999977,308.1627143000005,left,1,0.46455799999966985,308.1793580999947,None,307.36310539999977,None,001,1488,2019_Oct_14_1450,stroop short,3.1.5,60.23443240966173,
ĐỎ,RED,1,left,,,,,,,,,3,1,16,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,311.17972129999544,312.4630324999962,310.36279349999677,311.16318269999465,left,1,0.43819909999729134,311.17972129999544,None,310.36279349999677,None,001,1488,2019_Oct_14_1450,stroop short,3.1.5,60.23443240966173,
XANH DƯƠNG,BLUE,0,right,,,,,,,,,3,2,17,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,314.18052819999866,315.46319519999815,313.3643385999967,314.1628289,down,0,0.7882144000031985,314.18052819999866,None,313.3643385999967,None,001,1488,2019_Oct_14_1450,stroop short,3.1.5,60.23443240966173,
VÀNG,YELLOW,1,up,,,,,,,,,3,3,18,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317.1793875000003,318.46282699999574,316.3631830999948,317.1627066000001,right,0,1.139037000000826,317.1793875000003,None,316.3631830999948,None,001,1488,2019_Oct_14_1450,stroop short,3.1.5,60.23443240966173,
XANH LÁ,RED,0,right,,,,,,,,,3,4,19,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320.179513199997,321.46322569999757,319.3630534999975,320.16303219999827,left,0,1.188118800004304,320.179513199997,None,319.3630534999975,None,001,1488,2019_Oct_14_1450,stroop short,3.1.5,60.23443240966173,
ĐỎ,RED,1,left,,,,,,,,,4,0,20,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,323.1797491999969,324.4631359999985,322.36305580000044,323.1627351999996,left,1,0.4751290999993216,323.1797491999969,None,322.36305580000044,None,001,1488,2019_Oct_14_1450,stroop short,3.1.5,60.23443240966173,
